"date","geography","geography code","Sex: All persons; measures: Value","Sex: Female; measures: Value","Sex: Male; measures: Value"
"2021","North East","E12000001",4332,2299,2033
"2021","North West","E12000002",14993,7966,7027
"2021","Yorkshire and The Humber","E12000003",11395,6281,5114
"2021","East Midlands","E12000004",8748,4655,4093
"2021","West Midlands","E12000005",13857,7562,6295
"2021","East","E12000006",10590,5649,4941
"2021","London","E12000007",39204,21886,17318
"2021","South East","E12000008",19711,10909,8802
"2021","South West","E12000009",9581,5325,4256
"2021","Wales","W92000004",4058,2198,1860
